pmc_ID,accession,real_introducer
PMC8396257,GSE162665,
PMC8396257,GSE182072,
PMC8396257,GSE182076,
PMC6193063,GSE104886,
PMC5788347,GSE102734,
PMC4659474,GSE63900,
PMC7464653,GSE152870,
PMC6028538,GSE106768,
PMC8267473,GSE167933,
PMC5414197,GSE94779,
PMC3853033,GSE37131,
PMC2956710,GSM458907,
PMC2956710,GSM458908,
PMC2956710,GSM458909,
PMC2956710,GSM458910,
PMC2956710,GSM458906,
PMC2956710,GSM458903,
PMC2956710,GSM458904,
PMC2956710,GSM458905,
PMC2956710,GSE18402,
PMC2956710,GSM458902,
PMC8795432,GSE180384,
PMC8795432,GSE180752,
PMC4965549,GSE79923,
PMC8024250,GSE160010,
PMC3484025,GSE35974,
PMC3484025,GSE35977,
PMC3997488,GSE55402,
PMC3371710,GSE33216,
PMC8033538,GSE106216,
PMC8210094,GSE157608,
PMC3504121,GSM918083,
PMC3504121,GSM918082,
PMC3504121,GSM918075,
PMC3504121,GSM918084,
PMC3504121,GSM918077,
PMC3504121,GSM918076,
PMC3504121,GSM918085,
PMC3504121,GSM918081,
PMC3504121,GSM918079,
PMC3504121,GSM918080,
PMC3504121,GSM918078,
PMC3504121,GSE37408,
PMC3504121,GSM918087,
PMC3504121,GSM918088,
PMC3504121,GSM918073,
PMC3504121,GSM918074,
PMC3504121,GSM918072,
PMC3504121,GSM918089,
PMC4612095,GSE72370,
PMC4612095,GSE72367,
PMC4612095,GSE72368,
PMC4612095,GSE72369,
PMC4636799,GSE68071,
PMC4414449,GSE65465,
PMC5529408,GSE94793,
PMC3948607,GSE44100,
PMC4178178,GSE58216,
PMC2212557,GSM208582,
PMC2212557,GSM208581,
PMC2212557,GSM208580,
PMC2212557,GSM207551,
PMC2212557,GSM208583,
PMC2212557,GSM207801,
PMC2212557,GSM207802,
PMC2212557,GSE8406,
PMC2212557,GSM207800,
PMC2212557,GSM208584,
PMC2212557,GSM207798,
PMC2212557,GSM207807,
PMC2212557,GSM208574,
PMC2212557,GSM207809,
PMC2212557,GSM207808,
PMC2212557,GSM207804,
PMC2212557,GSM207803,
PMC2212557,GSM207557,
PMC2212557,GSM207796,
PMC2212557,GSM207813,
PMC2212557,GSM207797,
PMC2212557,GSM207805,
PMC2212557,GSM207799,
PMC2212557,GSM207556,
PMC2212557,GSM207806,
PMC2212557,GSM207812,
PMC2212557,GSM207548,
PMC2212557,GSM208578,
PMC2212557,GSM208575,
PMC2212557,GSM207549,
PMC2212557,GSM208577,
PMC2212557,GSM207555,
PMC2212557,GSM207552,
PMC2212557,GSM207554,
PMC2212557,GSM208576,
PMC2212557,GSM207810,
PMC2212557,GSM207811,
PMC2212557,GSM207553,
PMC2212557,GSM208579,
PMC2212557,GSM207550,
PMC4821649,GSE77886,
PMC6820751,GSE129848,
PMC6820751,GSE129874,
PMC7510138,GSE141484,
PMC7510138,GSE141314,
PMC5561256,GSE92567,
PMC8784116,GSE186898,
PMC6986877,GSE108880,
PMC2711080,GSE16031,
PMC8802762,GSE185668,
PMC8802762,GSE185876,
PMC7445300,GSE136159,
PMC6277851,GSE120247,
PMC7049718,GSE137484,
PMC7049718,GSE137485,
PMC7049718,GSE137648,
PMC5590826,GSE100851,
PMC2686271,GSE15950,
PMC2686271,GPL8520,
PMC4759560,GSE73740,
PMC7689214,GSE153089,
PMC8248535,GSE163416,
PMC7962346,GSE158388,
PMC4856968,GSE65228,
PMC4856968,GSE65225,
PMC4856968,GSE63769,
PMC4856968,GSE63729,
PMC4856968,GSE57467,
PMC4856968,GSE64006,
PMC6441886,GSE114604,
PMC3497032,GSE39905,
PMC4399147,GSE61949,
PMC2715088,GSE16199,
PMC2715088,GSM406557,
PMC2715088,GSM406556,
PMC2797821,GSE16400,
PMC7939527,GSE136583,
PMC7939527,GSE136380,
PMC7939527,GSE136319,
PMC7939527,GSE136247,